Date,Open,High,Low,Close,Volume,Adj. Close
03-05-17,946,946,935.9,941.03,3544234,941.03
04-05-17,944.75,945,934.215,937.53,2380874,937.53
05-05-17,940.52,940.79,930.3,934.15,2856585,934.15
08-05-17,940.95,949.05,939.21,949.04,3370672,949.04
09-05-17,952.8,957.89,950.2,952.82,3230630,952.82
10-05-17,953.5,953.7499,945,948.95,2083441,948.95
11-05-17,945.11,950.29,940.775,947.62,2135393,947.62
12-05-17,954.5,962.79,951.53,961.35,3605620,961.35
15-05-17,958.73,963.15,956.055,957.97,4245856,957.97
16-05-17,961,970.06,960.91,966.07,3050005,966.07
17-05-17,954.7,960.3957,944.12,944.52,5073254,944.52
18-05-17,944.8,962.75,944.76,958.49,3876816,958.49
19-05-17,962.84,968.92,959.72,959.84,3846299,959.84
22-05-17,964,971.38,962.9,970.7,2613805,970.7
23-05-17,975.02,975.2,966.85,971.54,2395510,971.54
24-05-17,976,981,970.23,980.35,2407995,980.35
25-05-17,984.85,999,982.11,993.38,4737390,993.38
26-05-17,995,998.65,989.2491,995.78,3394090,995.78
30-05-17,996.51,1001.2,995.52,996.7,3245760,996.7
31-05-17,1000,1000.12,982.16,994.62,3912535,994.62
01-06-17,998.59,998.99,991.37,995.95,2384298,995.95
02-06-17,998.99,1008.48,995.67,1006.73,3714954,1006.73
05-06-17,1007.23,1013.21,1003.51,1011.34,2676857,1011.34
06-06-17,1012,1016.5,1001.25,1002.97,3298378,1002.97
07-06-17,1005.95,1010.25,1002,1010.07,2779551,1010.07
08-06-17,1012.06,1013.61,1006.11,1009.94,2724408,1009.94
09-06-17,1012.5,1012.99,927,978.31,7548854,978.31
12-06-17,967,975.95,945,964.83,9393802,964.83
13-06-17,977.99,984.5,966.1,980.79,4533933,980.79
14-06-17,988.59,990.34,966.71,976.47,3943670,976.47
15-06-17,958.7,965.73,950.86,964.17,5202147,964.17
16-06-17,996,999.75,982,987.71,11314754,987.71
19-06-17,1017,1017,989.9,995.17,4967600,995.17
20-06-17,998,1004.88,992.02,992.59,4040990,992.59
21-06-17,998.7,1002.72,992.6518,1002.23,2892563,1002.23
22-06-17,1002.23,1006.96,997.2,1001.3,2221035,1001.3
23-06-17,1002.54,1004.62,998.02,1003.74,2645973,1003.74
26-06-17,1008.5,1009.8,992,993.98,3347195,993.98
27-06-17,990.69,998.8,976,976.78,3735360,976.78
28-06-17,978.55,990.68,969.21,990.33,3708638,990.33
29-06-17,979,987.56,965.25,975.93,4246765,975.93
30-06-17,980.12,983.47,967.61,968,3309138,968
03-07-17,972.79,974.49,951.0001,953.66,2908267,953.66
05-07-17,961.53,975,955.25,971.4,3587645,971.4
06-07-17,964.66,974.4,959.02,965.14,3229378,965.14
07-07-17,969.55,980.11,969.14,978.76,2582645,978.76
10-07-17,985,999.4392,983.5,996.47,3462884,996.47
11-07-17,993,995.99,983.72,994.13,2947479,994.13
12-07-17,1000.65,1008.55,998.1,1006.51,3491988,1006.51
13-07-17,1004.62,1006.88,995.9,999.855,2864533,999.855
14-07-17,1002.4,1004.45,996.89,1001.81,2066362,1001.81
17-07-17,1004.69,1014.75,1003.81,1010.04,3636801,1010.04
18-07-17,1006,1026.03,1004,1024.38,3957892,1024.38
19-07-17,1025,1031.59,1022.5,1026.87,2936902,1026.87
20-07-17,1031.59,1034.97,1022.52,1028.7,2964341,1028.7
21-07-17,1021.28,1026.1,1011,1025.67,2677517,1025.67
24-07-17,1028.34,1043.01,1027.43,1038.95,3212499,1038.95
25-07-17,1038.05,1043.33,1032.48,1039.87,2432328,1039.87
26-07-17,1043.2,1053.2,1043.2,1052.8,2828980,1052.8
27-07-17,1069.55,1083.31,1040.18,1046,9905158,1046
28-07-17,1012.14,1032.85,1001,1020.04,7624498,1020.04
31-07-17,1019.05,1019.05,987.02,987.78,7246638,987.78
01-08-17,996.11,1006.4,991.58,996.19,4421395,996.19
02-08-17,1001.77,1003.21,981.73,995.89,4017780,995.89
03-08-17,999.47,999.5,984.59,986.92,3203134,986.92
04-08-17,989.68,991.672,982,987.58,2704026,987.58
08-08-17,994.35,996.28,985.79,989.84,2847527,989.84
09-08-17,982.6,988,975.27,982.01,3434077,982.01
10-08-17,976.295,979.86,954.68,956.92,5560388,956.92
11-08-17,960,970.39,951.38,967.99,3431423,967.99
14-08-17,978.41,985.5,976.19,983.3,3008007,983.3
15-08-17,988.9,991.74,982,982.74,2513139,982.74
16-08-17,981.65,986.4605,973.22,978.18,3096051,978.18
17-08-17,977.84,977.84,960.32,960.57,3396045,960.57
18-08-17,961.4,965.43,954.65,958.47,3248677,958.47
21-08-17,957.57,961.2,945.46,953.29,3008450,953.29
22-08-17,955.52,967.93,955.495,966.9,2718261,966.9
23-08-17,959.38,962,954.2,958,2590245,958
24-08-17,957.42,959,941.14,952.45,5086748,952.45
25-08-17,956,957.621,944.1,945.26,3292776,945.26
28-08-17,946.54,953,942.25,946.02,2529087,946.02
29-08-17,940,956,936.33,954.06,2853972,954.06
30-08-17,958.44,969.41,956.9062,967.59,2860718,967.59
31-08-17,974.7,981,972.76,980.6,3280945,980.6
01-09-17,984.2,984.5,976.875,978.25,2423132,978.25
05-09-17,975.4,976.7699,960.37,965.27,2875228,965.27
06-09-17,968.32,971.84,960.6,967.8,2106605,967.8
07-09-17,974,980.59,972.55,979.47,2536000,979.47
08-09-17,979.1,979.88,963.47,965.9,2578269,965.9
11-09-17,974.46,981.94,974.22,977.96,2134582,977.96
12-09-17,983.27,984.6718,975.517,982.58,2444699,982.58
13-09-17,983.97,1000,979.42,999.6,3314978,999.6
14-09-17,996.8,998.56,987.74,992.21,3788472,992.21
15-09-17,993.01,996.25,984.03,986.79,3697742,986.79
18-09-17,990.4,992.7922,968.17,974.19,3376772,974.19
19-09-17,977.25,978.24,967.46,969.86,2614059,969.86
20-09-17,971.79,974.81,962.1626,973.21,2727355,973.21
21-09-17,971.31,971.7,962.02,964.65,2252940,964.65
22-09-17,961.01,965.61,954.42,955.1,2602418,955.1
25-09-17,949.31,949.42,932.89,939.79,5065542,939.79
26-09-17,945.49,948.63,931.75,938.6,3464183,938.6
27-09-17,948,955.3,943.3,950.87,3111263,950.87
28-09-17,951.86,959.7,950.101,956.4,2512567,956.4
29-09-17,960.11,964.83,958.375,961.35,2411643,961.35
02-10-17,964,967.305,952.1201,959.19,2415846,959.19
03-10-17,958,963.69,950.37,957.1,2643484,957.1
04-10-17,954.21,967.79,954.05,965.45,2460721,965.45
05-10-17,970,981.51,969.64,980.85,3119487,980.85
06-10-17,975.64,995.75,975.64,989.58,3719840,989.58
09-10-17,993.24,998.5,987.5,990.99,2927994,990.99
10-10-17,996.67,997.95,980.099,987.2,3062820,987.2
11-10-17,991.27,995.5,986.695,995,2310872,995
12-10-17,996.81,1008.44,992.4,1000.93,4056172,1000.93
13-10-17,1007,1007.77,1001.03,1002.94,2399403,1002.94
16-10-17,1008.44,1009.57,1001.04,1006.34,1991556,1006.34
17-10-17,1005.59,1011.47,1004.38,1009.13,2307075,1009.13
