,city,job_title,company_name,summary,salary_lower,salary_upper,mean_salary
128,Macquarie Park,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000.0,65000.0,60000.0
129,Macquarie Park,Data Analyst,ANZ Banking Group,Our Data Analyst,70000.0,90000.0,80000.0
130,Macquarie Park,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,,,
131,Macquarie Park,Data Analyst,AMP Ltd,We are currently looking for two Data Analyst,70000.0,90000.0,80000.0
132,Macquarie Park,Data Analyst,Amazon.com,As a Data Analyst,70000.0,90000.0,80000.0
133,Macquarie Park,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,70000.0,90000.0,80000.0
134,Macquarie Park,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",70000.0,90000.0,80000.0
135,Macquarie Park,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,70000.0,90000.0,80000.0
136,Macquarie Park,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,70000.0,90000.0,80000.0
137,Macquarie Park,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,80000.0,90000.0,85000.0
138,Macquarie Park,Data Analyst,Datasii,Extensive experience as a Data Analyst,70000.0,90000.0,80000.0
139,Macquarie Park,Data Analyst,Munich Re,Data Analyst,70000.0,90000.0,80000.0
140,Macquarie Park,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...",80000.0,100000.0,90000.0
141,Macquarie Park,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,70000.0,90000.0,80000.0
142,Macquarie Park,Data Analyst,Robert Half Australia,As the Data Analyst,600.0,90000.0,45300.0
143,Macquarie Park,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,55000.0,65000.0,60000.0
144,sydney,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000.0,65000.0,60000.0
145,sydney,Data Analyst,ANZ Banking Group,Our Data Analyst,70000.0,90000.0,80000.0
146,sydney,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,,,
147,sydney,Data Analyst,AMP Ltd,We are currently looking for two Data Analyst,70000.0,90000.0,80000.0
148,sydney,Data Analyst,Amazon.com,As a Data Analyst,70000.0,90000.0,80000.0
149,sydney,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,70000.0,90000.0,80000.0
150,sydney,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",70000.0,90000.0,80000.0
151,sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,70000.0,90000.0,80000.0
