,Column,city,job_title,company_name,summary,salary_lower,salary_upper
116,116,Surry Hills,Data Analyst,Amazon.com,As a Data Analyst,0,0
117,117,Surry Hills,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,0,0
118,118,Surry Hills,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",0,0
119,119,Surry Hills,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,70000,90000
120,120,Surry Hills,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,0,0
121,121,Surry Hills,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,80000,90000
122,122,Surry Hills,Data Analyst,Datasii,Extensive experience as a Data Analyst,70000,90000
123,123,Surry Hills,Data Analyst,Munich Re,Data Analyst,0,0
124,124,Surry Hills,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...",80000,100000
125,125,Surry Hills,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,0,0
126,126,Surry Hills,Data Analyst,Robert Half Australia,As the Data Analyst,600,
127,127,Surry Hills,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,0,0
128,128,Macquarie Park,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000,65000
129,129,Macquarie Park,Data Analyst,ANZ Banking Group,Our Data Analyst,0,0
130,130,Macquarie Park,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,0,0
131,131,Macquarie Park,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",0,0
132,132,Macquarie Park,Data Analyst,Amazon.com,As a Data Analyst,0,0
133,133,Macquarie Park,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,0,0
134,134,Macquarie Park,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",0,0
