,city,job_title,company_name,summary,salary_lower,salary_upper,mean_salary
60,Barangaroo,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0
61,Barangaroo,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0
63,Barangaroo,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0
64,Barangaroo,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0
65,Barangaroo,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0
66,Barangaroo,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0
67,Barangaroo,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0
68,Barangaroo,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0
69,Barangaroo,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0
70,Barangaroo,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0
71,Barangaroo,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0
72,Barangaroo,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0,97500.0
73,Barangaroo,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0,97500.0
74,Barangaroo,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0,72500.0
75,Mascot,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0,97500.0
76,Mascot,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0,97500.0
78,Mascot,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0,90000.0
79,Mascot,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0,80000.0
80,Mascot,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0,97500.0
81,Mascot,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0,80000.0
82,Mascot,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0,97500.0
83,Mascot,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0,107500.0
84,Mascot,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0,87500.0
85,Mascot,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0,97500.0
86,Mascot,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0,97500.0
