,city,job_title,company_name,summary,salary
215,Melbourne+VIC,Customer Facing Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary
216,Melbourne+VIC,Data Scientist,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis – data mining, cleansing,...",salary
217,Melbourne+VIC,Data Scientist,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary
218,Melbourne+VIC,Ikon | Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary
219,Melbourne+VIC,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist – Predictive Modelling & Segmentation. As a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary
220,Melbourne+VIC,Data Scientist,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 - $110,000 a year"
221,Melbourne+VIC,Data Scientist,Caltex,"As a data scientist at Caltex, you’ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary
222,Melbourne+VIC,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary
223,Melbourne+VIC,Senior Data Scientist/ Machine learning engineer,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 - $160,000 a year"
224,Melbourne+VIC,Data Scientist,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary
225,sydney+NSW,Data Scientist - Analytics,Domain Group,"As a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary
226,sydney+NSW,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary
227,sydney+NSW,BioMind Data Scientist/Engineer (Relocate to Beijing),biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary
228,sydney+NSW,Team Assistant with AI company,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 - $85,000 a year"
229,sydney+NSW,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 - $90,000 a year"
230,sydney+NSW,Junior data scientist/machine learning engineer,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
231,sydney+NSW,Customer Facing Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary
232,sydney+NSW,Data Scientist,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis – data mining, cleansing,...",salary
233,sydney+NSW,Data Scientist,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary
234,sydney+NSW,Ikon | Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary
235,sydney+NSW,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist – Predictive Modelling & Segmentation. As a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary
236,sydney+NSW,Data Scientist,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 - $110,000 a year"
237,sydney+NSW,Data Scientist,Caltex,"As a data scientist at Caltex, you’ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary
238,sydney+NSW,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary
239,sydney+NSW,Senior Data Scientist/ Machine learning engineer,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 - $160,000 a year"
240,sydney+NSW,Data Scientist,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary
241,Ultimo+NSW,Data Scientist - Analytics,Domain Group,"As a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary
242,Ultimo+NSW,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary
243,Ultimo+NSW,BioMind Data Scientist/Engineer (Relocate to Beijing),biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary
244,Ultimo+NSW,Team Assistant with AI company,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 - $85,000 a year"
245,Ultimo+NSW,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 - $90,000 a year"
246,Ultimo+NSW,Junior data scientist/machine learning engineer,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
247,Ultimo+NSW,Customer Facing Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary
248,Ultimo+NSW,Data Scientist,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis – data mining, cleansing,...",salary
249,Ultimo+NSW,Data Scientist,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary
250,Ultimo+NSW,Ikon | Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary
251,Ultimo+NSW,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist – Predictive Modelling & Segmentation. As a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary
252,Ultimo+NSW,Data Scientist,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 - $110,000 a year"
253,Ultimo+NSW,Data Scientist,Caltex,"As a data scientist at Caltex, you’ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary
254,Ultimo+NSW,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary
255,Ultimo+NSW,Senior Data Scientist/ Machine learning engineer,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 - $160,000 a year"
256,Ultimo+NSW,Data Scientist,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary
