,city,job_title,company_name,summary,salary_lower,salary_upper
102,Parramatta,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver Data Scientist,salary,
103,Parramatta,Data Scientist,CPT Global,Strong experience working as a Data Scientist. Experience of working with large Data Scientist,salary,
104,Parramatta,Data Scientist,Freshwater Group,The Data Scientist will:. Manage Data Scientist,salary,
105,Parramatta,Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of Data Scientist",salary,
106,Parramatta,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
107,Parramatta,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
108,Parramatta,Data Scientist,Caltex, a Data Scientist,salary,
109,Parramatta,Junior Data Scientist,International Institute of Data & Analytics,In Data Scientist,salary,
110,Parramatta,Senior Data Scientist,Intellify,Being a senior Data Scientist,"$120,000","$160,000"
111,Parramatta,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
112,Surry,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and Data Scientist",salary,
113,Surry,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary,
114,Surry,Data Scientist,biomind.ai,The candidate is a skilled Data Scientist,salary,
115,Surry,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000","$85,000"
116,Surry,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large Data Scientist","$70,000","$90,000"
117,Surry,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000","$100,000"
118,Surry,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver Data Scientist,salary,
119,Surry,Data Scientist,CPT Global,Strong experience working as a Data Scientist. Experience of working with large Data Scientist,salary,
120,Surry,Data Scientist,Freshwater Group,The Data Scientist will:. Manage Data Scientist,salary,
121,Surry,Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of Data Scientist",salary,
122,Surry,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
123,Surry,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
124,Surry,Data Scientist,Caltex, a Data Scientist,salary,
125,Surry,Junior Data Scientist,International Institute of Data & Analytics,In Data Scientist,salary,
126,Surry,Senior Data Scientist,Intellify,Being a senior Data Scientist,"$120,000","$160,000"
127,Surry,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
128,Macquarie,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and Data Scientist",salary,
129,Macquarie,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary,
130,Macquarie,Data Scientist,biomind.ai,The candidate is a skilled Data Scientist,salary,
131,Macquarie,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000","$85,000"
132,Macquarie,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large Data Scientist","$70,000","$90,000"
133,Macquarie,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000","$100,000"
134,Macquarie,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver Data Scientist,salary,
135,Macquarie,Data Scientist,CPT Global,Strong experience working as a Data Scientist. Experience of working with large Data Scientist,salary,
136,Macquarie,Data Scientist,Freshwater Group,The Data Scientist will:. Manage Data Scientist,salary,
137,Macquarie,Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of Data Scientist",salary,
138,Macquarie,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
139,Macquarie,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
140,Macquarie,Data Scientist,Caltex, a Data Scientist,salary,
141,Macquarie,Junior Data Scientist,International Institute of Data & Analytics,In Data Scientist,salary,
142,Macquarie,Senior Data Scientist,Intellify,Being a senior Data Scientist,"$120,000","$160,000"
143,Macquarie,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
144,Sydney,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and Data Scientist",salary,
145,Sydney,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary,
146,Sydney,Data Scientist,biomind.ai,The candidate is a skilled Data Scientist,salary,
147,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000","$85,000"
148,Sydney,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large Data Scientist","$70,000","$90,000"
149,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000","$100,000"
150,Sydney,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver Data Scientist,salary,
151,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist. Experience of working with large Data Scientist,salary,
152,Sydney,Data Scientist,Freshwater Group,The Data Scientist will:. Manage Data Scientist,salary,
153,Sydney,Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of Data Scientist",salary,
154,Sydney,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
155,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
