,city,job_title,company_name,summary,salary
78,Mascot,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
79,Mascot,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
80,Mascot,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
81,Mascot,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
82,Mascot,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
83,Mascot,Data Scientist,DataRobot,Data Scientist,salary
84,Mascot,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
85,Mascot,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
86,Mascot,Data Scientist,Freshwater Group,The Data Scientist,salary
87,Mascot,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
88,Mascot,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
89,Mascot,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
90,Mascot,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
91,Parramatta,Data Scientist,Domain Group,As a Data Scientist,salary
92,Parramatta,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
93,Parramatta,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
94,Parramatta,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
95,Parramatta,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
96,Parramatta,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
97,Parramatta,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
98,Parramatta,Data Scientist,DataRobot,Data Scientist,salary
99,Parramatta,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
100,Parramatta,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
101,Parramatta,Data Scientist,Freshwater Group,The Data Scientist,salary
102,Parramatta,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
103,Parramatta,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
104,Parramatta,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
105,Parramatta,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
106,Surry Hills,Data Scientist,Domain Group,As a Data Scientist,salary
107,Surry Hills,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
108,Surry Hills,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
109,Surry Hills,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
110,Surry Hills,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
111,Surry Hills,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
112,Surry Hills,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
113,Surry Hills,Data Scientist,DataRobot,Data Scientist,salary
114,Surry Hills,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
115,Surry Hills,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
116,Surry Hills,Data Scientist,Freshwater Group,The Data Scientist,salary
117,Surry Hills,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
118,Surry Hills,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
119,Surry Hills,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
120,Surry Hills,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
121,Macquarie Park,Data Scientist,Domain Group,As a Data Scientist,salary
122,Macquarie Park,Data Scientist,ANZ Banking Group,As the Data Scientist,salary
123,Macquarie Park,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary
124,Macquarie Park,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000 - $100,000 a year"
125,Macquarie Park,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,"$70,000 - $90,000 a year"
126,Macquarie Park,Data Scientist,Investigations & Counter Terrorism,Data Scientist,salary
127,Macquarie Park,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,salary
128,Macquarie Park,Data Scientist,DataRobot,Data Scientist,salary
129,Macquarie Park,Data Scientist,Datasii,Experience as a Data Scientist,"$100,000 - $115,000 a year"
130,Macquarie Park,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000 - $110,000 a year"
131,Macquarie Park,Data Scientist,Freshwater Group,The Data Scientist,salary
132,Macquarie Park,Data Scientist,CPT Global,Strong experience working as a Data Scientist,salary
133,Macquarie Park,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,salary
134,Macquarie Park,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary
135,Macquarie Park,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000 - $85,000 a year"
